Category;Award;Brewery;Country;Beer;Website;Style Origin
VIENNA-STYLE LAGER;BRONZE;North Coast Brewing Company;USA;Laguna Baja;www.northcoastbrewing.com;Central European
WOOD- AND BARREL-AGED STRONG BEER;GOLD;Bozner Weisse;Italy;Grand Cuvée Fumé;www.batzen.it;Other
WOOD- AND BARREL-AGED STRONG BEER;SILVER;Daoravida Brewpub;Brasil;TERMINUS 2025;www.cervejasdaoravida.com.br;Other
WOOD- AND BARREL-AGED STRONG BEER;BRONZE;MC77 Birrificio Artigianale;Italy;A Promise Kept;www.mc-77.com;Other
ULTRA STRONG BEER;GOLD;Cervejaria Bamberg;Brasil;Craft Beer is Dead Weizenbock;www.cervejariabamberg.com.br;Other
ULTRA STRONG BEER;SILVER;Browar Trzech Kumpli;Poland;Ragnar;www.trzechkumpli.pl;Other
ULTRA STRONG BEER;BRONZE;Schneider Weisse;Germany;TAP9 Aventinus Eisbock;www.schneider-weisse.de;Other
NON-ALCOHOLIC LAGER;GOLD;Brauerei Göller;Germany;Göller Alkoholfrei;www.brauerei-goeller.de;Other
NON-ALCOHOLIC LAGER;SILVER;Löwenbräu;Germany;Löwenbräu Alkoholfrei;www.loewenbraeu.de;Other
NON-ALCOHOLIC LAGER;BRONZE;Brauerei S. Riegele;Germany;Riegele Hell Alkoholfrei;www.riegele.de;Other
NEW-STYLE NON-ALCOHOLIC LAGER;GOLD;Browar Sady;Poland;Smoke Allowed!;www.browarsady.pl;American
NEW-STYLE NON-ALCOHOLIC LAGER;SILVER;Mashsee Brauerei;Germany;Blaufrei;www.mashsee.de;American
NEW-STYLE NON-ALCOHOLIC LAGER;BRONZE;Koninklijke Grolsch;Netherlands;Grolsch 0.0%;www.grolsch.nl;American
NEW-STYLE NON-ALCOHOLIC ALE;GOLD;Browar Trzech Kumpli;Poland;Stout Unplugged;www.trzechkumpli.pl;American
